"","X","POLY_ID","Species","Product","sum","Link","POLY_ID.1","Species.1","total","percentage","join"
"334",334,"450-09","PL","Large Sawlog",5289,"PL450-09","450-09","PL",137330,3.85130707055997,"450-09PLLarge Sawlog"
"335",335,"450-09","PL","Small Sawlog",46323,"PL450-09","450-09","PL",137330,33.7311585232651,"450-09PLSmall Sawlog"
"336",336,"450-09","PL","Stud",85718,"PL450-09","450-09","PL",137330,62.4175344061749,"450-09PLStud"
"337",337,"450-24","AT","Large Sawlog",656,"AT450-24","450-24","AT",12396,5.2920296869958,"450-24ATLarge Sawlog"
"338",338,"450-24","AT","Small Sawlog",11740,"AT450-24","450-24","AT",12396,94.7079703130042,"450-24ATSmall Sawlog"
"339",339,"450-24","B","Large Sawlog",3028,"B450-24","450-24","B",101655,2.9787024740544,"450-24BLarge Sawlog"
"340",340,"450-24","B","Small Sawlog",44075,"B450-24","450-24","B",101655,43.3574344596921,"450-24BSmall Sawlog"
"341",341,"450-24","B","Stud",54552,"B450-24","450-24","B",101655,53.6638630662535,"450-24BStud"
"342",342,"450-24","C","Large Sawlog",15776,"C450-24","450-24","C",292246,5.39819193419243,"450-24CLarge Sawlog"
"343",343,"450-24","C","Small Sawlog",276470,"C450-24","450-24","C",292246,94.6018080658076,"450-24CSmall Sawlog"
"344",344,"450-24","DF","Large Sawlog",60608,"DF450-24","450-24","DF",580053,10.4487003773793,"450-24DFLarge Sawlog"
"345",345,"450-24","DF","Small Sawlog",265135,"DF450-24","450-24","DF",580053,45.7087542000472,"450-24DFSmall Sawlog"
"346",346,"450-24","DF","Stud",254310,"DF450-24","450-24","DF",580053,43.8425454225735,"450-24DFStud"
"347",347,"450-24","EP","Large Sawlog",8,"EP450-24","450-24","EP",3113,0.256986829424992,"450-24EPLarge Sawlog"
"348",348,"450-24","EP","Small Sawlog",3105,"EP450-24","450-24","EP",3113,99.743013170575,"450-24EPSmall Sawlog"
"349",349,"450-24","H","Small Sawlog",40,"H450-24","450-24","H",40,100,"450-24HSmall Sawlog"
"350",350,"450-24","PL","Large Sawlog",7052,"PL450-24","450-24","PL",212834,3.31338038095417,"450-24PLLarge Sawlog"
"351",351,"450-24","PL","Small Sawlog",77205,"PL450-24","450-24","PL",212834,36.2747493351626,"450-24PLSmall Sawlog"
"352",352,"450-24","PL","Stud",128577,"PL450-24","450-24","PL",212834,60.4118702838832,"450-24PLStud"
"353",353,"475-02","AT","Large Sawlog",820,"AT475-02","475-02","AT",14908,5.5004024684733,"475-02ATLarge Sawlog"
"354",354,"475-02","AT","Small Sawlog",14088,"AT475-02","475-02","AT",14908,94.4995975315267,"475-02ATSmall Sawlog"
"355",355,"475-02","B","Large Sawlog",3785,"B475-02","475-02","B",111227,3.40295072239654,"475-02BLarge Sawlog"
"356",356,"475-02","B","Small Sawlog",52890,"B475-02","475-02","B",111227,47.5514038857472,"475-02BSmall Sawlog"
"357",357,"475-02","B","Stud",54552,"B475-02","475-02","B",111227,49.0456453918563,"475-02BStud"
"358",358,"475-02","C","Large Sawlog",19720,"C475-02","475-02","C",351484,5.61049720613172,"475-02CLarge Sawlog"
"359",359,"475-02","C","Small Sawlog",331764,"C475-02","475-02","C",351484,94.3895027938683,"475-02CSmall Sawlog"
"360",360,"475-02","DF","Large Sawlog",75760,"DF475-02","475-02","DF",648232,11.6871737279246,"475-02DFLarge Sawlog"
"361",361,"475-02","DF","Small Sawlog",318162,"DF475-02","475-02","DF",648232,49.0815016845821,"475-02DFSmall Sawlog"
"362",362,"475-02","DF","Stud",254310,"DF475-02","475-02","DF",648232,39.2313245874934,"475-02DFStud"
"363",363,"475-02","EP","Large Sawlog",10,"EP475-02","475-02","EP",3736,0.267665952890792,"475-02EPLarge Sawlog"
